"order_id"|"order_date"|"order_status"|"delivery_date"|"seller_id"|"buyer_id"|"product_quantities"|"total_price"|"product_count"|"avg_product_price"|"avg_product_total_price"|"total_price_order"
O00032|2020-11-02|OK|2020-11-15|U00447|U00329|"{""P00447_008"": 3,
""P00447_004"": 5}"|2680.06|8|12.754999999999999|51.925|103.85
O00033|2020-11-24|OK|2020-12-07|U00555|U00086|"{""P00555_003"": 3,
""P00555_010"": 3,
""P00555_006"": 3,
""P00555_006"": 4,
""P00555_005"": 4}"|4564.5700000000015|17|9.824000000000002|34.076|170.38
O00034|2020-11-17|OK|2020-11-30|U00617|U00515|"{""P00617_016"": 4,
""P00617_008"": 4}"|1995.2199999999991|8|30.25|121.000|242.0
O00035|2020-12-16|OK|2020-12-22|U00513|U00257|"{""P00513_005"": 5}"|3153.9700000000003|5|44.85|224.250|224.25
O00036|2020-11-10|OK|2020-11-16|U00506|U00609|"{""P00506_001"": 4}"|1694.1799999999998|4|5.03|20.120|20.12
O00037|2020-12-26|OK|2020-12-27|U00505|U00293|"{""P00505_003"": 3,
""P00505_004"": 5,
""P00505_007"": 2,
""P00505_005"": 5}"|2031.8799999999994|15|15.077499999999999|66.540|266.15999999999997
O00038|2020-11-18|OK|2020-11-20|U00376|U00189|"{""P00376_018"": 2}"|3100.140000000001|2|8.39|16.780|16.78
O00039|2020-11-08|OK|2020-11-18|U00594|U00268|"{""P00594_001"": 5,
""P00594_002"": 2,
""P00594_002"": 4,
""P00594_005"": 5,
""P00594_005"": 5}"|2531.8799999999997|21|26.201999999999998|127.002|635.01
O00040|2020-11-14|OK|2020-11-25|U00501|U00265|"{""P00501_003"": 3}"|1758.69|3|45.4|136.200|136.2
O00041|2020-11-20|OK|2020-11-25|U00595|U00009|"{""P00595_001"": 2,
""P00595_001"": 5}"|3816.05|7|5.01|17.535|35.06999999999999
O00042|2020-11-21|OK|2020-11-26|U00599|U00325|"{""P00599_020"": 4}"|3200.259999999999|4|15.15|60.600|60.6
O00043|2020-12-03|CANCELED|0001-01-01|U00474|U00130|"{""P00474_009"": 4,
""P00474_005"": 1,
""P00474_009"": 3,
""P00474_002"": 4}"|1906.5599999999997|12|7.624999999999999|25.488|101.95
O00044|2020-12-26|OK|2021-01-05|U00587|U00299|"{""P00587_002"": 1,
""P00587_002"": 1,
""P00587_001"": 3}"|2769.1600000000003|5|56.06333333333333|66.950|200.85000000000002
O00045|2020-11-21|CANCELED|0001-01-01|U00595|U00087|"{""P00595_004"": 1}"|2206.4300000000003|1|38.38|38.380|38.38
O00046|2020-12-30|OK|2021-01-08|U00599|U00354|"{""P00599_007"": 5,
""P00599_013"": 3,
""P00599_018"": 1,
""P00599_003"": 1}"|2234.22|10|5.674999999999999|13.190|52.75999999999999
O00047|2020-12-12|OK|2020-12-18|U00427|U00516|"{""P00427_006"": 3,
""P00427_003"": 3,
""P00427_004"": 2,
""P00427_003"": 4,
""P00427_006"": 4}"|3118.419999999999|16|9.794|32.776|163.88
O00048|2020-11-08|OK|2020-11-13|U00605|U00099|"{""P00605_011"": 1,
""P00605_010"": 2,
""P00605_001"": 5,
""P00605_005"": 3}"|2552.05|11|48.44|117.650|470.6
O00049|2020-12-05|OK|2020-12-15|U00599|U00121|"{""P00599_022"": 1,
""P00599_012"": 5,
""P00599_005"": 2,
""P00599_004"": 3,
""P00599_012"": 5}"|1859.41|16|8.802|23.676|118.38
O00050|2020-12-26|OK|2020-12-28|U00622|U00102|"{""P00622_003"": 2,
""P00622_003"": 2}"|1702.5199999999995|4|18.89|37.780|75.56
O00051|2020-11-21|OK|2020-12-02|U00415|U00471|"{""P00415_002"": 2,
""P00415_002"": 3,
""P00415_002"": 4,
""P00415_002"": 2,
""P00415_001"": 4}"|2508.490000000001|15|5.151999999999999|15.558|77.78999999999999
O00052|2020-12-27|OK|2021-01-09|U00585|U00197|"{""P00585_003"": 4,
""P00585_005"": 1,
""P00585_001"": 5,
""P00585_002"": 4}"|2602.559999999999|14|5.125|17.995|71.97999999999999
O00053|2020-11-01|OK|2020-11-13|U00605|U00243|"{""P00605_003"": 2,
""P00605_001"": 2}"|1652.2099999999994|4|22.435|44.870|89.74
O00054|2020-12-13|OK|2020-12-24|U00605|U00017|"{""P00605_011"": 4}"|987.7699999999999|4|54.41|217.640|217.64
O00055|2020-12-16|OK|2020-12-27|U00562|U00424|"{""P00562_007"": 4,
""P00562_006"": 3,
""P00562_013"": 1}"|1495.8499999999997|8|16.473333333333333|30.927|92.78
O00056|2020-12-19|OK|2020-12-30|U00451|U00009|"{""P00451_007"": 4}"|3816.05|4|90.03|360.120|360.12
O00057|2020-11-28|OK|2020-12-10|U00433|U00033|"{""P00433_008"": 1,
""P00433_002"": 3,
""P00433_001"": 5,
""P00433_003"": 3,
""P00433_004"": 3}"|1347.37|15|19.11|48.456|242.28000000000003
O00058|2020-12-19|OK|2020-12-21|U00605|U00394|"{""P00605_006"": 5,
""P00605_005"": 1}"|1711.6699999999998|6|11.47|21.530|43.06
O00059|2020-11-10|OK|2020-11-13|U00581|U00589|"{""P00581_002"": 5,
""P00581_002"": 4,
""P00581_001"": 1,
""P00581_001"": 2}"|2602.9100000000003|12|5.24|15.405|61.62
O00060|2020-11-12|CANCELED|0001-01-01|U00535|U00119|"{""P00535_004"": 5,
""P00535_006"": 3,
""P00535_002"": 3,
""P00535_005"": 1}"|6359.310000000001|12|10.094999999999999|30.770|123.08000000000001
O00061|2020-12-27|OK|2021-01-01|U00592|U00376|"{""P00592_001"": 1}"|1955.6799999999996|1|9.39|9.390|9.39
O00062|2020-12-05|CANCELED|0001-01-01|U00576|U00442|"{""P00576_002"": 1,
""P00576_002"": 4,
""P00576_003"": 1,
""P00576_003"": 1,
""P00576_008"": 2}"|2428.37|9|5.22|9.436|47.17999999999999
O00063|2020-12-04|OK|2020-12-18|U00535|U00287|"{""P00535_004"": 3}"|1318.7500000000005|3|5.98|17.940|17.94
O00064|2020-11-11|OK|2020-11-14|U00480|U00505|"{""P00480_002"": 2}"|1864.5600000000002|2|10.72|21.440|21.44
O00065|2020-12-03|OK|2020-12-14|U00386|U00520|"{""P00386_011"": 2,
""P00386_013"": 2,
""P00386_007"": 4,
""P00386_011"": 1,
""P00386_013"": 1}"|4658.889999999999|10|23.286|71.544|357.72
O00066|2020-12-27|OK|2021-01-09|U00373|U00462|"{""P00373_010"": 1,
""P00373_002"": 4,
""P00373_010"": 1,
""P00373_009"": 1,
""P00373_005"": 5}"|2933.609999999999|12|10.357999999999999|18.038|90.19
O00067|2020-12-27|OK|2021-01-09|U00605|U00378|"{""P00605_010"": 1}"|992.3499999999997|1|81.58|81.580|81.58
O00068|2020-12-13|OK|2020-12-22|U00617|U00145|"{""P00617_008"": 1,
""P00617_012"": 5,
""P00617_008"": 5,
""P00617_004"": 1}"|3608.32|12|11.6675|34.938|139.75
O00069|2020-12-18|OK|2020-12-19|U00433|U00063|"{""P00433_009"": 3}"|1778.1099999999997|3|5.91|17.730|17.73
O00070|2020-12-13|OK|2020-12-25|U00599|U00221|"{""P00599_021"": 3,
""P00599_018"": 2,
""P00599_005"": 2,
""P00599_017"": 4,
""P00599_001"": 1}"|689.7199999999999|12|9.453999999999997|20.404|102.02
O00071|2020-11-28|OK|2020-12-07|U00231|U00266|"{""P00231_003"": 3,
""P00231_008"": 5,
""P00231_003"": 1}"|1853.0100000000004|9|5.01|15.030|45.089999999999996
O00072|2020-12-21|OK|2021-01-01|U00562|U00094|"{""P00562_013"": 2,
""P00562_006"": 1,
""P00562_004"": 4,
""P00562_011"": 1}"|1489.9799999999993|8|14.2125|25.795|103.18
O00073|2020-11-27|OK|2020-11-29|U00599|U00617|"{""P00599_020"": 3,
""P00599_006"": 1}"|2658.4400000000005|4|10.71|25.860|51.72
O00074|2020-12-02|OK|2020-12-09|U00576|U00483|"{""P00576_009"": 4,
""P00576_009"": 5,
""P00576_002"": 4}"|3645.490000000002|13|5.013333333333333|21.723|65.16999999999999
O00075|2020-11-03|OK|2020-11-06|U00614|U00141|"{""P00614_005"": 5,
""P00614_008"": 3,
""P00614_012"": 5}"|6161.300000000005|13|26.793333333333333|129.013|387.04
O00076|2020-11-10|OK|2020-11-14|U00536|U00427|"{""P00536_003"": 3}"|3581.6700000000005|3|33.61|100.830|100.83
O00077|2020-11-20|OK|2020-11-27|U00451|U00039|"{""P00451_007"": 5,
""P00451_004"": 3}"|3230.1499999999996|8|51.775|245.355|490.71
O00078|2020-11-03|OK|2020-11-06|U00500|U00529|"{""P00500_007"": 3,
""P00500_008"": 3,
""P00500_004"": 2,
""P00500_009"": 1}"|2654.04|9|15.4975|42.730|170.92000000000002
O00079|2020-11-03|OK|2020-11-13|U00599|U00472|"{""P00599_002"": 1,
""P00599_012"": 1}"|1328.0|2|5.01|5.010|10.02
O00080|2020-11-21|CANCELED|0001-01-01|U00567|U00407|"{""P00567_006"": 5,
""P00567_001"": 3,
""P00567_007"": 1,
""P00567_003"": 3}"|3635.229999999999|12|10.065|30.205|120.82
O00081|2020-11-29|OK|2020-12-09|U00501|U00290|"{""P00501_005"": 1,
""P00501_004"": 2,
""P00501_006"": 3}"|2955.67|6|34.31333333333333|70.420|211.26
O00082|2020-11-20|OK|2020-11-23|U00543|U00122|"{""P00543_003"": 1,
""P00543_001"": 3,
""P00543_003"": 3,
""P00543_001"": 4}"|3681.0699999999997|11|21.275000000000002|67.960|271.84000000000003
O00083|2020-11-25|OK|2020-11-29|U00576|U00516|"{""P00576_001"": 1}"|3118.419999999999|1|14.53|14.530|14.53
O00084|2020-11-16|OK|2020-11-26|U00614|U00101|"{""P00614_012"": 4}"|3870.2200000000003|4|5.15|20.600|20.6
O00085|2020-12-03|CANCELED|0001-01-01|U00262|U00247|"{""P00262_010"": 1}"|3815.7299999999996|1|6.24|6.240|6.24
O00086|2020-12-30|OK|2020-12-31|U00386|U00031|"{""P00386_006"": 2,
""P00386_006"": 1,
""P00386_010"": 5,
""P00386_018"": 3,
""P00386_017"": 5}"|1928.9499999999996|16|26.75|78.828|394.14
O00087|2020-11-17|OK|2020-11-20|U00605|U00326|"{""P00605_010"": 4}"|1755.85|4|81.58|326.320|326.32
O00088|2020-12-16|OK|2020-12-20|U00576|U00538|"{""P00576_010"": 4}"|2997.880000000001|4|5.18|20.720|20.72
O00089|2020-11-01|OK|2020-11-11|U00485|U00125|"{""P00485_007"": 2}"|2846.43|2|5.65|11.300|11.3
O00090|2020-12-15|OK|2020-12-21|U00562|U00256|"{""P00562_001"": 1}"|1184.7899999999997|1|13.62|13.620|13.62
O00091|2020-11-30|OK|2020-12-03|U00617|U00600|"{""P00617_011"": 3}"|2544.35|3|74.89|224.670|224.67000000000002
O00092|2020-11-27|OK|2020-12-04|U00447|U00027|"{""P00447_008"": 3,
""P00447_008"": 4,
""P00447_005"": 2}"|2647.3999999999996|9|9.763333333333334|31.377|94.13
O00093|2020-12-05|OK|2020-12-07|U00562|U00198|"{""P00562_013"": 2,
""P00562_009"": 2,
""P00562_007"": 1,
""P00562_008"": 2,
""P00562_010"": 3}"|1888.7099999999994|10|19.394000000000002|46.686|233.43
O00094|2020-11-21|OK|2020-12-06|U00408|U00390|"{""P00408_001"": 4}"|2272.5699999999997|4|5.01|20.040|20.04
O00095|2020-12-24|CANCELED|0001-01-01|U00544|U00270|"{""P00544_001"": 5,
""P00544_001"": 3,
""P00544_001"": 2,
""P00544_001"": 1}"|3280.979999999999|11|29.17|80.218|320.87
O00096|2020-11-28|CANCELED|0001-01-01|U00609|U00423|"{""P00609_001"": 3}"|3613.6800000000007|3|18.37|55.110|55.11
O00097|2020-11-10|OK|2020-11-22|U00539|U00617|"{""P00539_003"": 2}"|2658.4400000000005|2|12.46|24.920|24.92
O00098|2020-11-27|OK|2020-12-03|U00599|U00327|"{""P00599_015"": 2,
""P00599_013"": 3}"|2083.2799999999997|5|5.01|12.525|25.049999999999997
O00099|2020-11-08|OK|2020-11-10|U00555|U00109|"{""P00555_008"": 5}"|2621.23|5|67.39|336.950|336.95
O00100|2020-11-10|OK|2020-11-12|U00599|U00423|"{""P00599_017"": 5}"|3613.6800000000007|5|5.01|25.050|25.049999999999997
O00101|2020-12-15|OK|2020-12-20|U00576|U00118|"{""P00576_008"": 5,
""P00576_001"": 3,
""P00576_011"": 3,
""P00576_001"": 3,
""P00576_009"": 1}"|2574.5499999999997|15|11.684|35.456|177.28
O00102|2020-11-07|OK|2020-11-10|U00624|U00439|"{""P00624_001"": 2,
""P00624_001"": 1}"|4572.040000000001|3|42.1|63.150|126.30000000000001
O00103|2020-12-09|CANCELED|0001-01-01|U00392|U00103|"{""P00392_007"": 2,
""P00392_007"": 2,
""P00392_008"": 4}"|2104.21|8|28.73|61.960|185.88
O00104|2020-12-08|CANCELED|0001-01-01|U00614|U00272|"{""P00614_007"": 4,
""P00614_006"": 2}"|2313.33|6|31.64|121.360|242.72
O00105|2020-11-16|CANCELED|0001-01-01|U00376|U00520|"{""P00376_009"": 2}"|4658.889999999999|2|72.2|144.400|144.4
O00106|2020-11-17|CANCELED|0001-01-01|U00406|U00432|"{""P00406_003"": 1,
""P00406_008"": 4,
""P00406_007"": 1}"|1448.7399999999998|6|35.370000000000005|55.440|166.32
O00107|2020-12-03|OK|2020-12-04|U00626|U00063|"{""P00626_005"": 1,
""P00626_008"": 1}"|1778.1099999999997|2|7.14|7.140|14.28
O00108|2020-11-22|OK|2020-11-26|U00555|U00296|"{""P00555_009"": 5,
""P00555_010"": 1,
""P00555_008"": 3}"|1542.2099999999996|9|25.80333333333333|77.410|232.23000000000002
O00109|2020-12-06|OK|2020-12-08|U00562|U00584|"{""P00562_002"": 1,
""P00562_010"": 2,
""P00562_011"": 2}"|1271.8000000000002|5|41.61000000000001|60.327|180.98000000000002
O00110|2020-11-17|OK|2020-12-01|U00373|U00578|"{""P00373_008"": 5,
""P00373_007"": 4,
""P00373_004"": 2}"|2533.3899999999994|11|20.016666666666666|54.510|163.53
O00111|2020-12-24|OK|2021-01-05|U00592|U00603|"{""P00592_001"": 1,
""P00592_001"": 4,
""P00592_001"": 4,
""P00592_001"": 1}"|2305.3900000000003|10|9.39|23.475|93.9
O00112|2020-12-28|OK|2021-01-02|U00594|U00291|"{""P00594_002"": 1,
""P00594_002"": 5}"|3492.690000000002|6|5.01|15.030|30.059999999999995
O00113|2020-12-20|CANCELED|0001-01-01|U00605|U00621|"{""P00605_002"": 2}"|4268.45|2|5.01|10.020|10.02
O00114|2020-11-28|OK|2020-12-03|U00589|U00497|"{""P00589_005"": 3,
""P00589_007"": 4,
""P00589_007"": 5,
""P00589_008"": 5,
""P00589_001"": 5}"|3993.8800000000006|22|18.476000000000003|66.024|330.12
O00115|2020-11-11|OK|2020-11-19|U00605|U00572|"{""P00605_010"": 1}"|3972.8400000000006|1|81.58|81.580|81.58
O00116|2020-11-07|OK|2020-11-14|U00576|U00268|"{""P00576_001"": 1}"|2531.8799999999997|1|14.53|14.530|14.53
O00117|2020-12-16|OK|2020-12-29|U00505|U00005|"{""P00505_003"": 2}"|2852.5700000000006|2|10.18|20.360|20.36
O00118|2020-12-30|CANCELED|0001-01-01|U00306|U00063|"{""P00306_004"": 2}"|1778.1099999999997|2|5.04|10.080|10.08
O00119|2020-11-25|OK|2020-12-06|U00535|U00296|"{""P00535_004"": 3,
""P00535_001"": 4,
""P00535_004"": 1}"|1542.2099999999996|8|11.343333333333334|37.400|112.2
O00120|2020-12-19|OK|2021-01-02|U00150|U00006|"{""P00150_001"": 2,
""P00150_004"": 1,
""P00150_009"": 4,
""P00150_005"": 1,
""P00150_004"": 5}"|2215.82|13|19.174|35.570|177.84999999999997
O00121|2020-12-19|OK|2020-12-31|U00485|U00535|"{""P00485_007"": 4}"|1926.6799999999996|4|5.65|22.600|22.6
O00122|2020-11-29|OK|2020-12-04|U00614|U00055|"{""P00614_011"": 5,
""P00614_008"": 3,
""P00614_007"": 1,
""P00614_004"": 1,
""P00614_008"": 4}"|3082.119999999999|14|17.264|28.702|143.51
O00123|2020-12-25|CANCELED|0001-01-01|U00559|U00462|"{""P00559_004"": 3,
""P00559_002"": 4,
""P00559_001"": 4,
""P00559_005"": 4,
""P00559_007"": 5}"|2933.609999999999|20|11.086000000000002|49.666|248.33
O00124|2020-11-30|OK|2020-12-12|U00619|U00584|"{""P00619_001"": 3,
""P00619_001"": 2,
""P00619_001"": 2}"|1271.8000000000002|7|36.56|85.307|255.92000000000002
O00125|2020-11-18|OK|2020-11-23|U00513|U00519|"{""P00513_002"": 3,
""P00513_001"": 4}"|2687.08|7|17.465|56.650|113.30000000000001
O00126|2020-12-08|CANCELED|0001-01-01|U00599|U00329|"{""P00599_015"": 1,
""P00599_004"": 3,
""P00599_017"": 2}"|2680.06|6|5.113333333333333|10.330|30.990000000000002
O00127|2020-11-08|OK|2020-11-20|U00613|U00024|"{""P00613_002"": 3,
""P00613_001"": 5,
""P00613_002"": 4}"|3187.0799999999995|12|17.476666666666667|63.683|191.05
O00128|2020-11-09|OK|2020-11-16|U00626|U00043|"{""P00626_002"": 5,
""P00626_002"": 5,
""P00626_001"": 4}"|5611.909999999999|14|62.800000000000004|308.947|926.84
O00129|2020-11-11|CANCELED|0001-01-01|U00468|U00589|"{""P00468_001"": 1,
""P00468_003"": 4,
""P00468_002"": 1,
""P00468_001"": 1,
""P00468_001"": 2}"|2602.9100000000003|9|7.4159999999999995|11.526|57.629999999999995
O00130|2020-11-05|CANCELED|0001-01-01|U00626|U00284|"{""P00626_006"": 5,
""P00626_002"": 2,
""P00626_007"": 2}"|1411.1499999999996|9|32.410000000000004|69.840|209.52
O00131|2020-12-12|OK|2020-12-13|U00408|U00435|"{""P00408_009"": 1,
""P00408_008"": 1}"|1927.37|2|14.695|14.695|29.39
O00132|2020-11-20|OK|2020-12-03|U00536|U00101|"{""P00536_006"": 3}"|3870.2200000000003|3|90.4|271.200|271.20000000000005
O00133|2020-12-30|CANCELED|0001-01-01|U00395|U00118|"{""P00395_004"": 2,
""P00395_004"": 2,
""P00395_004"": 1,
""P00395_003"": 1}"|2574.5499999999997|6|18.7775|23.353|93.41
O00134|2020-11-26|OK|2020-11-30|U00513|U00067|"{""P00513_001"": 3,
""P00513_005"": 5,
""P00513_001"": 1,
""P00513_004"": 1}"|3699.870000000001|10|19.372500000000002|68.478|273.90999999999997
O00135|2020-11-26|OK|2020-12-03|U00605|U00427|"{""P00605_002"": 2,
""P00605_005"": 4}"|3581.6700000000005|6|11.46|40.830|81.66
O00136|2020-11-14|OK|2020-11-22|U00325|U00054|"{""P00325_010"": 1}"|5063.6100000000015|1|19.08|19.080|19.08
O00137|2020-12-28|OK|2021-01-01|U00617|U00520|"{""P00617_013"": 3,
""P00617_008"": 5,
""P00617_008"": 4,
""P00617_005"": 5,
""P00617_003"": 5}"|4658.889999999999|22|11.618|52.138|260.69
O00138|2020-12-24|OK|2020-12-26|U00344|U00109|"{""P00344_004"": 2}"|2621.23|2|5.06|10.120|10.12
O00139|2020-11-29|OK|2020-12-01|U00400|U00452|"{""P00400_002"": 3,
""P00400_004"": 2}"|3151.0000000000005|5|20.28|52.630|105.26
O00140|2020-11-21|OK|2020-12-06|U00605|U00491|"{""P00605_001"": 1}"|939.5699999999999|1|39.86|39.860|39.86
O00141|2020-12-19|OK|2020-12-28|U00626|U00532|"{""P00626_008"": 5,
""P00626_001"": 4,
""P00626_004"": 2,
""P00626_005"": 4}"|3285.0599999999995|15|8.612499999999999|34.263|137.04999999999998
O00142|2020-11-24|OK|2020-11-26|U00427|U00508|"{""P00427_001"": 4,
""P00427_003"": 3,
""P00427_003"": 4,
""P00427_006"": 2}"|2553.3399999999997|13|20.560000000000002|72.610|290.44
O00143|2020-11-09|CANCELED|0001-01-01|U00555|U00434|"{""P00555_013"": 1,
""P00555_004"": 2}"|2074.7699999999995|3|41.84|59.290|118.58
O00144|2020-12-11|OK|2020-12-15|U00487|U00179|"{""P00487_003"": 4}"|3478.420000000001|4|95.86|383.440|383.44
O00145|2020-12-13|CANCELED|0001-01-01|U00579|U00207|"{""P00579_003"": 3,
""P00579_004"": 5,
""P00579_003"": 4,
""P00579_004"": 3,
""P00579_002"": 4}"|1366.6799999999994|19|20.77|81.640|408.2
O00146|2020-11-16|OK|2020-11-29|U00617|U00520|"{""P00617_014"": 3}"|4658.889999999999|3|5.01|15.030|15.03
O00147|2020-12-19|OK|2020-12-20|U00624|U00392|"{""P00624_002"": 5}"|882.9700000000001|5|5.01|25.050|25.049999999999997
O00148|2020-12-06|OK|2020-12-16|U00613|U00243|"{""P00613_001"": 3}"|1652.2099999999994|3|5.03|15.090|15.09
O00149|2020-11-06|CANCELED|0001-01-01|U00614|U00055|"{""P00614_008"": 2,
""P00614_010"": 3,
""P00614_010"": 3,
""P00614_001"": 1}"|3082.119999999999|9|6.48|5.098|20.39
O00150|2020-12-12|OK|2020-12-15|U00622|U00104|"{""P00622_008"": 1}"|3154.420000000001|1|5.01|5.010|5.01
O00151|2020-11-21|OK|2020-11-30|U00473|U00016|"{""P00473_001"": 4,
""P00473_003"": 1,
""P00473_002"": 3,
""P00473_004"": 5}"|2084.7599999999998|13|10.452499999999999|22.900|91.6
O00152|2020-12-22|OK|2020-12-28|U00617|U00527|"{""P00617_015"": 2,
""P00617_002"": 1,
""P00617_016"": 1,
""P00617_010"": 4,
""P00617_004"": 2}"|2353.99|10|15.354000000000003|20.444|102.22
O00153|2020-12-13|OK|2020-12-27|U00594|U00092|"{""P00594_003"": 2,
""P00594_001"": 5,
""P00594_002"": 1,
""P00594_002"": 4}"|1969.8899999999996|12|8.7575|26.395|105.58000000000001
O00154|2020-11-24|OK|2020-11-25|U00599|U00193|"{""P00599_022"": 1}"|5194.810000000001|1|5.02|5.020|5.02
O00155|2020-11-15|OK|2020-11-28|U00605|U00051|"{""P00605_005"": 3,
""P00605_005"": 4}"|3563.21|7|17.91|62.685|125.37
O00156|2020-12-29|OK|2021-01-11|U00585|U00101|"{""P00585_008"": 3}"|3870.2200000000003|3|5.01|15.030|15.03
O00157|2020-11-02|OK|2020-11-17|U00599|U00567|"{""P00599_017"": 3,
""P00599_015"": 1,
""P00599_011"": 5}"|4291.840000000001|9|5.773333333333333|18.847|56.54
