"seller_id"|"product_count"|"avg_product_price"|"product_price"
U00243|5|37.392|186.95999999999998
U00144|7|31.737|222.16
U00140|4|14.538|58.15
U00267|15|26.073|391.09999999999997
U00613|2|14.365|28.73
U00200|8|27.226|217.81
U00001|8|36.430|291.44
U00624|3|26.867|80.6
U00037|6|38.145|228.86999999999998
U00160|10|13.430|134.29999999999998
U00239|7|22.196|155.37
U00169|15|20.385|305.77
U00321|2|8.535|17.07
U00091|2|15.010|30.020000000000003
U00392|10|22.930|229.29999999999998
U00126|3|29.420|88.25999999999999
U00365|1|17.940|17.94
U00059|4|64.968|259.87
U00538|5|18.388|91.94
U00247|2|56.385|112.77
U00221|25|23.616|590.4000000000001
U00264|5|29.118|145.59
U00567|7|9.169|64.18
U00289|1|96.100|96.1
U00114|3|34.083|102.25
U00614|11|20.321|223.52999999999997
U00576|11|7.428|81.71000000000001
U00513|7|20.466|143.26
U00112|1|71.700|71.7
U00380|9|16.968|152.71
U00260|1|79.360|79.36
U00157|3|44.337|133.01
U00397|4|53.448|213.79
U00587|2|46.130|92.26
U00468|5|20.724|103.61999999999999
U00506|4|40.093|160.37
U00594|5|18.266|91.33
U00031|13|32.273|419.55
U00081|1|29.520|29.52
U00231|10|18.349|183.49
U00578|1|6.950|6.95
U00065|7|30.130|210.90999999999997
U00028|9|34.561|311.05
U00026|11|35.024|385.26
U00324|5|30.192|150.96
U00109|1|17.550|17.55
U00302|1|16.400|16.4
U00447|8|9.775|78.2
U00558|2|21.460|42.92
U00080|5|20.014|100.07000000000001
U00130|2|31.745|63.49
U00555|13|22.925|298.03
U00376|20|10.190|203.79000000000002
U00433|8|29.720|237.76
U00559|9|8.886|79.97
U00386|19|24.625|467.88
U00524|1|89.730|89.73
U00362|10|26.361|263.61
U00150|11|17.195|189.15
U00592|1|9.390|9.39
U00415|2|5.305|10.61
U00489|27|14.337|387.09
U00228|5|27.640|138.20000000000002
U00605|11|27.595|303.53999999999996
U00177|2|22.905|45.81
U00391|5|40.852|204.26
U00532|1|52.320|52.32
U00593|2|57.050|114.1
U00020|5|34.946|174.73
U00283|1|88.030|88.03
U00622|9|31.214|280.92999999999995
U00351|1|31.630|31.63
U00291|4|7.423|29.689999999999998
U00205|6|50.205|301.22999999999996
U00343|4|55.958|223.82999999999998
U00483|4|41.210|164.84
U00138|3|18.223|54.67
U00300|1|5.200|5.2
U00292|7|27.791|194.54
U00213|2|52.810|105.62
U00190|8|29.929|239.42999999999998
U00240|1|18.480|18.48
U00251|9|27.758|249.82
U00320|2|6.350|12.7
U00581|2|5.240|10.48
U00487|5|59.828|299.14000000000004
U00443|1|11.680|11.68
U00101|3|28.560|85.67999999999999
U00311|10|31.350|313.5
U00052|3|74.387|223.16
U00306|6|42.690|256.14000000000004
U00096|1|104.520|104.52
U00571|1|6.080|6.08
U00272|6|21.495|128.97
U00474|9|19.037|171.33
U00505|9|16.278|146.49999999999997
U00573|2|15.580|31.159999999999997
U00308|1|89.670|89.67
U00536|6|29.407|176.44
U00263|8|24.524|196.19
U00599|22|7.586|166.88999999999996
U00161|6|19.672|118.02999999999999
U00388|1|13.690|13.69
U00552|1|41.650|41.65
U00595|4|13.630|54.52
U00539|4|25.403|101.61000000000001
U00574|1|52.450|52.45
U00563|4|33.408|133.63000000000002
U00173|3|37.310|111.93
U00011|6|31.665|189.99
U00464|1|5.550|5.55
U00296|2|99.625|199.25
U00039|3|23.047|69.14
U00210|3|24.547|73.64
U00428|6|11.668|70.01
U00496|9|26.519|238.66999999999996
U00521|2|21.180|42.36
U00395|4|31.620|126.48
U00448|11|29.055|319.60999999999996
U00406|8|36.611|292.89
U00470|4|21.755|87.02
U00043|6|17.345|104.07000000000002
U00179|2|95.060|190.12
U00396|1|24.270|24.27
