order_id;order_date;order_status;delivery_date;seller_id;buyer_id;product_quantities
O00046;30/12/2020;OK;8/01/2021;U00599;U00354;"{""P00599_007"": 5,
""P00599_013"": 3,
""P00599_018"": 1,
""P00599_003"": 1}"
O00047;12/12/2020;OK;18/12/2020;U00427;U00516;"{""P00427_006"": 3,
""P00427_003"": 3,
""P00427_004"": 2,
""P00427_003"": 4,
""P00427_006"": 4}"
O00048;8/11/2020;OK;13/11/2020;U00605;U00099;"{""P00605_011"": 1,
""P00605_010"": 2,
""P00605_001"": 5,
""P00605_005"": 3}"
O00049;5/12/2020;OK;15/12/2020;U00599;U00121;"{""P00599_022"": 1,
""P00599_012"": 5,
""P00599_005"": 2,
""P00599_004"": 3,
""P00599_012"": 5}"
O00050;26/12/2020;OK;28/12/2020;U00622;U00102;"{""P00622_003"": 2,
""P00622_003"": 2}"
O00051;21/11/2020;OK;2/12/2020;U00415;U00471;"{""P00415_002"": 2,
""P00415_002"": 3,
""P00415_002"": 4,
""P00415_002"": 2,
""P00415_001"": 4}"
O00052;27/12/2020;OK;9/01/2021;U00585;U00197;"{""P00585_003"": 4,
""P00585_005"": 1,
""P00585_001"": 5,
""P00585_002"": 4}"
O00053;1/11/2020;OK;13/11/2020;U00605;U00243;"{""P00605_003"": 2,
""P00605_001"": 2}"
O00054;13/12/2020;OK;24/12/2020;U00605;U00017;"{""P00605_011"": 4}"
O00055;16/12/2020;OK;27/12/2020;U00562;U00424;"{""P00562_007"": 4,
""P00562_006"": 3,
""P00562_013"": 1}"
O00056;19/12/2020;OK;30/12/2020;U00451;U00009;"{""P00451_007"": 4}"
O00057;28/11/2020;OK;10/12/2020;U00433;U00033;"{""P00433_008"": 1,
""P00433_002"": 3,
""P00433_001"": 5,
""P00433_003"": 3,
""P00433_004"": 3}"
O00058;19/12/2020;OK;21/12/2020;U00605;U00394;"{""P00605_006"": 5,
""P00605_005"": 1}"
O00059;10/11/2020;OK;13/11/2020;U00581;U00589;"{""P00581_002"": 5,
""P00581_002"": 4,
""P00581_001"": 1,
""P00581_001"": 2}"
O00060;12/11/2020;CANCELED;;U00535;U00119;"{""P00535_004"": 5,
""P00535_006"": 3,
""P00535_002"": 3,
""P00535_005"": 1}"
O00061;27/12/2020;OK;1/01/2021;U00592;U00376;"{""P00592_001"": 1}"
O00062;5/12/2020;CANCELED;;U00576;U00442;"{""P00576_002"": 1,
""P00576_002"": 4,
""P00576_003"": 1,
""P00576_003"": 1,
""P00576_008"": 2}"
O00063;4/12/2020;OK;18/12/2020;U00535;U00287;"{""P00535_004"": 3}"
O00064;11/11/2020;OK;14/11/2020;U00480;U00505;"{""P00480_002"": 2}"
O00065;3/12/2020;OK;14/12/2020;U00386;U00520;"{""P00386_011"": 2,
""P00386_013"": 2,
""P00386_007"": 4,
""P00386_011"": 1,
""P00386_013"": 1}"
O00066;27/12/2020;OK;9/01/2021;U00373;U00462;"{""P00373_010"": 1,
""P00373_002"": 4,
""P00373_010"": 1,
""P00373_009"": 1,
""P00373_005"": 5}"
O00067;27/12/2020;OK;9/01/2021;U00605;U00378;"{""P00605_010"": 1}"
O00068;13/12/2020;OK;22/12/2020;U00617;U00145;"{""P00617_008"": 1,
""P00617_012"": 5,
""P00617_008"": 5,
""P00617_004"": 1}"
O00069;18/12/2020;OK;19/12/2020;U00433;U00063;"{""P00433_009"": 3}"
O00070;13/12/2020;OK;25/12/2020;U00599;U00221;"{""P00599_021"": 3,
""P00599_018"": 2,
""P00599_005"": 2,
""P00599_017"": 4,
""P00599_001"": 1}"
O00071;28/11/2020;OK;7/12/2020;U00231;U00266;"{""P00231_003"": 3,
""P00231_008"": 5,
""P00231_003"": 1}"
O00072;21/12/2020;OK;1/01/2021;U00562;U00094;"{""P00562_013"": 2,
""P00562_006"": 1,
""P00562_004"": 4,
""P00562_011"": 1}"
O00073;27/11/2020;OK;29/11/2020;U00599;U00617;"{""P00599_020"": 3,
""P00599_006"": 1}"
O00074;2/12/2020;OK;9/12/2020;U00576;U00483;"{""P00576_009"": 4,
""P00576_009"": 5,
""P00576_002"": 4}"
O00075;3/11/2020;OK;6/11/2020;U00614;U00141;"{""P00614_005"": 5,
""P00614_008"": 3,
""P00614_012"": 5}"
O00076;10/11/2020;OK;14/11/2020;U00536;U00427;"{""P00536_003"": 3}"
O00077;20/11/2020;OK;27/11/2020;U00451;U00039;"{""P00451_007"": 5,
""P00451_004"": 3}"
O00078;3/11/2020;OK;6/11/2020;U00500;U00529;"{""P00500_007"": 3,
""P00500_008"": 3,
""P00500_004"": 2,
""P00500_009"": 1}"
O00079;3/11/2020;OK;13/11/2020;U00599;U00472;"{""P00599_002"": 1,
""P00599_012"": 1}"
O00080;21/11/2020;CANCELED;;U00567;U00407;"{""P00567_006"": 5,
""P00567_001"": 3,
""P00567_007"": 1,
""P00567_003"": 3}"
O00081;29/11/2020;OK;9/12/2020;U00501;U00290;"{""P00501_005"": 1,
""P00501_004"": 2,
""P00501_006"": 3}"
O00082;20/11/2020;OK;23/11/2020;U00543;U00122;"{""P00543_003"": 1,
""P00543_001"": 3,
""P00543_003"": 3,
""P00543_001"": 4}"
O00083;25/11/2020;OK;29/11/2020;U00576;U00516;"{""P00576_001"": 1}"
O00084;16/11/2020;OK;26/11/2020;U00614;U00101;"{""P00614_012"": 4}"
O00085;3/12/2020;CANCELED;;U00262;U00247;"{""P00262_010"": 1}"
O00086;30/12/2020;OK;31/12/2020;U00386;U00031;"{""P00386_006"": 2,
""P00386_006"": 1,
""P00386_010"": 5,
""P00386_018"": 3,
""P00386_017"": 5}"
O00087;17/11/2020;OK;20/11/2020;U00605;U00326;"{""P00605_010"": 4}"
O00088;16/12/2020;OK;20/12/2020;U00576;U00538;"{""P00576_010"": 4}"
O00089;1/11/2020;OK;11/11/2020;U00485;U00125;"{""P00485_007"": 2}"
O00090;15/12/2020;OK;21/12/2020;U00562;U00256;"{""P00562_001"": 1}"
O00091;30/11/2020;OK;3/12/2020;U00617;U00600;"{""P00617_011"": 3}"
O00092;27/11/2020;OK;4/12/2020;U00447;U00027;"{""P00447_008"": 3,
""P00447_008"": 4,
""P00447_005"": 2}"
O00093;5/12/2020;OK;7/12/2020;U00562;U00198;"{""P00562_013"": 2,
""P00562_009"": 2,
""P00562_007"": 1,
""P00562_008"": 2,
""P00562_010"": 3}"
O00094;21/11/2020;OK;6/12/2020;U00408;U00390;"{""P00408_001"": 4}"
O00095;24/12/2020;CANCELED;;U00544;U00270;"{""P00544_001"": 5,
""P00544_001"": 3,
""P00544_001"": 2,
""P00544_001"": 1}"
O00096;28/11/2020;CANCELED;;U00609;U00423;"{""P00609_001"": 3}"
O00097;10/11/2020;OK;22/11/2020;U00539;U00617;"{""P00539_003"": 2}"
O00098;27/11/2020;OK;3/12/2020;U00599;U00327;"{""P00599_015"": 2,
""P00599_013"": 3}"
O00099;8/11/2020;OK;10/11/2020;U00555;U00109;"{""P00555_008"": 5}"
O00100;10/11/2020;OK;12/11/2020;U00599;U00423;"{""P00599_017"": 5}"
O00101;15/12/2020;OK;20/12/2020;U00576;U00118;"{""P00576_008"": 5,
""P00576_001"": 3,
""P00576_011"": 3,
""P00576_001"": 3,
""P00576_009"": 1}"
O00102;7/11/2020;OK;10/11/2020;U00624;U00439;"{""P00624_001"": 2,
""P00624_001"": 1}"
O00103;9/12/2020;CANCELED;;U00392;U00103;"{""P00392_007"": 2,
""P00392_007"": 2,
""P00392_008"": 4}"
O00104;8/12/2020;CANCELED;;U00614;U00272;"{""P00614_007"": 4,
""P00614_006"": 2}"
O00105;16/11/2020;CANCELED;;U00376;U00520;"{""P00376_009"": 2}"
O00106;17/11/2020;CANCELED;;U00406;U00432;"{""P00406_003"": 1,
""P00406_008"": 4,
""P00406_007"": 1}"
O00107;3/12/2020;OK;4/12/2020;U00626;U00063;"{""P00626_005"": 1,
""P00626_008"": 1}"
O00108;22/11/2020;OK;26/11/2020;U00555;U00296;"{""P00555_009"": 5,
""P00555_010"": 1,
""P00555_008"": 3}"
O00109;6/12/2020;OK;8/12/2020;U00562;U00584;"{""P00562_002"": 1,
""P00562_010"": 2,
""P00562_011"": 2}"
O00110;17/11/2020;OK;1/12/2020;U00373;U00578;"{""P00373_008"": 5,
""P00373_007"": 4,
""P00373_004"": 2}"
O00111;24/12/2020;OK;5/01/2021;U00592;U00603;"{""P00592_001"": 1,
""P00592_001"": 4,
""P00592_001"": 4,
""P00592_001"": 1}"
O00112;28/12/2020;OK;2/01/2021;U00594;U00291;"{""P00594_002"": 1,
""P00594_002"": 5}"
O00113;20/12/2020;CANCELED;;U00605;U00621;"{""P00605_002"": 2}"
O00114;28/11/2020;OK;3/12/2020;U00589;U00497;"{""P00589_005"": 3,
""P00589_007"": 4,
""P00589_007"": 5,
""P00589_008"": 5,
""P00589_001"": 5}"
O00115;11/11/2020;OK;19/11/2020;U00605;U00572;"{""P00605_010"": 1}"
O00116;7/11/2020;OK;14/11/2020;U00576;U00268;"{""P00576_001"": 1}"
O00117;16/12/2020;OK;29/12/2020;U00505;U00005;"{""P00505_003"": 2}"
O00118;30/12/2020;CANCELED;;U00306;U00063;"{""P00306_004"": 2}"
O00119;25/11/2020;OK;6/12/2020;U00535;U00296;"{""P00535_004"": 3,
""P00535_001"": 4,
""P00535_004"": 1}"
O00120;19/12/2020;OK;2/01/2021;U00150;U00006;"{""P00150_001"": 2,
""P00150_004"": 1,
""P00150_009"": 4,
""P00150_005"": 1,
""P00150_004"": 5}"
O00121;19/12/2020;OK;31/12/2020;U00485;U00535;"{""P00485_007"": 4}"
O00122;29/11/2020;OK;4/12/2020;U00614;U00055;"{""P00614_011"": 5,
""P00614_008"": 3,
""P00614_007"": 1,
""P00614_004"": 1,
""P00614_008"": 4}"
O00123;25/12/2020;CANCELED;;U00559;U00462;"{""P00559_004"": 3,
""P00559_002"": 4,
""P00559_001"": 4,
""P00559_005"": 4,
""P00559_007"": 5}"
O00124;30/11/2020;OK;12/12/2020;U00619;U00584;"{""P00619_001"": 3,
""P00619_001"": 2,
""P00619_001"": 2}"
O00125;18/11/2020;OK;23/11/2020;U00513;U00519;"{""P00513_002"": 3,
""P00513_001"": 4}"
O00126;8/12/2020;CANCELED;;U00599;U00329;"{""P00599_015"": 1,
""P00599_004"": 3,
""P00599_017"": 2}"
O00127;8/11/2020;OK;20/11/2020;U00613;U00024;"{""P00613_002"": 3,
""P00613_001"": 5,
""P00613_002"": 4}"
O00128;9/11/2020;OK;16/11/2020;U00626;U00043;"{""P00626_002"": 5,
""P00626_002"": 5,
""P00626_001"": 4}"
O00129;11/11/2020;CANCELED;;U00468;U00589;"{""P00468_001"": 1,
""P00468_003"": 4,
""P00468_002"": 1,
""P00468_001"": 1,
""P00468_001"": 2}"
O00130;5/11/2020;CANCELED;;U00626;U00284;"{""P00626_006"": 5,
""P00626_002"": 2,
""P00626_007"": 2}"
O00131;12/12/2020;OK;13/12/2020;U00408;U00435;"{""P00408_009"": 1,
""P00408_008"": 1}"
O00132;20/11/2020;OK;3/12/2020;U00536;U00101;"{""P00536_006"": 3}"
O00133;30/12/2020;CANCELED;;U00395;U00118;"{""P00395_004"": 2,
""P00395_004"": 2,
""P00395_004"": 1,
""P00395_003"": 1}"
O00134;26/11/2020;OK;30/11/2020;U00513;U00067;"{""P00513_001"": 3,
""P00513_005"": 5,
""P00513_001"": 1,
""P00513_004"": 1}"
O00135;26/11/2020;OK;3/12/2020;U00605;U00427;"{""P00605_002"": 2,
""P00605_005"": 4}"
O00136;14/11/2020;OK;22/11/2020;U00325;U00054;"{""P00325_010"": 1}"
O00137;28/12/2020;OK;1/01/2021;U00617;U00520;"{""P00617_013"": 3,
""P00617_008"": 5,
""P00617_008"": 4,
""P00617_005"": 5,
""P00617_003"": 5}"
O00138;24/12/2020;OK;26/12/2020;U00344;U00109;"{""P00344_004"": 2}"
O00139;29/11/2020;OK;1/12/2020;U00400;U00452;"{""P00400_002"": 3,
""P00400_004"": 2}"
O00140;21/11/2020;OK;6/12/2020;U00605;U00491;"{""P00605_001"": 1}"
O00141;19/12/2020;OK;28/12/2020;U00626;U00532;"{""P00626_008"": 5,
""P00626_001"": 4,
""P00626_004"": 2,
""P00626_005"": 4}"
O00142;24/11/2020;OK;26/11/2020;U00427;U00508;"{""P00427_001"": 4,
""P00427_003"": 3,
""P00427_003"": 4,
""P00427_006"": 2}"
O00143;9/11/2020;CANCELED;;U00555;U00434;"{""P00555_013"": 1,
""P00555_004"": 2}"
O00144;11/12/2020;OK;15/12/2020;U00487;U00179;"{""P00487_003"": 4}"
O00145;13/12/2020;CANCELED;;U00579;U00207;"{""P00579_003"": 3,
""P00579_004"": 5,
""P00579_003"": 4,
""P00579_004"": 3,
""P00579_002"": 4}"
O00146;16/11/2020;OK;29/11/2020;U00617;U00520;"{""P00617_014"": 3}"
O00147;19/12/2020;OK;20/12/2020;U00624;U00392;"{""P00624_002"": 5}"
O00148;6/12/2020;OK;16/12/2020;U00613;U00243;"{""P00613_001"": 3}"
O00149;6/11/2020;CANCELED;;U00614;U00055;"{""P00614_008"": 2,
""P00614_010"": 3,
""P00614_010"": 3,
""P00614_001"": 1}"
O00150;12/12/2020;OK;15/12/2020;U00622;U00104;"{""P00622_008"": 1}"
O00151;21/11/2020;OK;30/11/2020;U00473;U00016;"{""P00473_001"": 4,
""P00473_003"": 1,
""P00473_002"": 3,
""P00473_004"": 5}"
O00152;22/12/2020;OK;28/12/2020;U00617;U00527;"{""P00617_015"": 2,
""P00617_002"": 1,
""P00617_016"": 1,
""P00617_010"": 4,
""P00617_004"": 2}"
O00153;13/12/2020;OK;27/12/2020;U00594;U00092;"{""P00594_003"": 2,
""P00594_001"": 5,
""P00594_002"": 1,
""P00594_002"": 4}"
O00154;24/11/2020;OK;25/11/2020;U00599;U00193;"{""P00599_022"": 1}"
O00155;15/11/2020;OK;28/11/2020;U00605;U00051;"{""P00605_005"": 3,
""P00605_005"": 4}"
O00156;29/12/2020;OK;11/01/2021;U00585;U00101;"{""P00585_008"": 3}"
O00157;2/11/2020;OK;17/11/2020;U00599;U00567;"{""P00599_017"": 3,
""P00599_015"": 1,
""P00599_011"": 5}"
O00158;14/11/2020;CANCELED;;U00614;U00190;"{""P00614_010"": 4,
""P00614_005"": 4,
""P00614_006"": 2,
""P00614_008"": 5,
""P00614_004"": 5}"
O00159;29/11/2020;OK;6/12/2020;U00435;U00459;"{""P00435_003"": 2}"
O00160;11/12/2020;CANCELED;;U00622;U00621;"{""P00622_005"": 1}"
O00161;20/11/2020;OK;24/11/2020;U00536;U00104;"{""P00536_006"": 1,
""P00536_001"": 2,
""P00536_001"": 5}"
O00162;22/12/2020;OK;3/01/2021;U00474;U00626;"{""P00474_003"": 1}"
O00163;12/12/2020;OK;14/12/2020;U00325;U00087;"{""P00325_012"": 2,
""P00325_010"": 1,
""P00325_016"": 1}"
O00164;20/12/2020;OK;22/12/2020;U00563;U00524;"{""P00563_004"": 1,
""P00563_004"": 3}"
O00165;3/12/2020;CANCELED;;U00603;U00520;"{""P00603_001"": 2,
""P00603_001"": 4,
""P00603_001"": 5,
""P00603_001"": 3,
""P00603_001"": 4}"
O00166;3/11/2020;OK;7/11/2020;U00626;U00521;"{""P00626_004"": 1,
""P00626_006"": 2,
""P00626_004"": 4,
""P00626_003"": 1,
""P00626_008"": 1}"
O00167;10/12/2020;OK;16/12/2020;U00589;U00576;"{""P00589_001"": 1,
""P00589_003"": 1,
""P00589_008"": 5}"
O00168;1/11/2020;OK;6/11/2020;U00489;U00308;"{""P00489_009"": 4,
""P00489_015"": 5}"
O00169;28/12/2020;CANCELED;;U00595;U00602;"{""P00595_004"": 2,
""P00595_003"": 3,
""P00595_001"": 5}"
O00170;4/12/2020;OK;13/12/2020;U00559;U00081;"{""P00559_003"": 1,
""P00559_003"": 3}"
O00171;22/11/2020;OK;29/11/2020;U00595;U00471;"{""P00595_004"": 5,
""P00595_001"": 5}"
O00172;16/11/2020;OK;25/11/2020;U00513;U00109;"{""P00513_004"": 4,
""P00513_005"": 3,
""P00513_001"": 4}"
O00173;15/11/2020;OK;23/11/2020;U00538;U00341;"{""P00538_003"": 1}"
O00174;24/12/2020;OK;25/12/2020;U00536;U00080;"{""P00536_003"": 3,
""P00536_006"": 5,
""P00536_002"": 3,
""P00536_006"": 1,
""P00536_005"": 4}"
O00175;16/12/2020;OK;28/12/2020;U00614;U00225;"{""P00614_010"": 3,
""P00614_011"": 3}"
O00176;11/11/2020;CANCELED;;U00576;U00128;"{""P00576_009"": 1}"
O00177;1/11/2020;OK;12/11/2020;U00619;U00191;"{""P00619_001"": 5,
""P00619_001"": 1,
""P00619_001"": 2}"
O00178;15/11/2020;OK;21/11/2020;U00567;U00422;"{""P00567_006"": 3,
""P00567_005"": 5,
""P00567_005"": 3,
""P00567_002"": 5,
""P00567_007"": 5}"
O00179;23/12/2020;OK;5/01/2021;U00520;U00083;"{""P00520_008"": 2,
""P00520_007"": 2}"
O00180;26/12/2020;CANCELED;;U00581;U00432;"{""P00581_002"": 2}"
O00181;19/11/2020;OK;28/11/2020;U00614;U00190;"{""P00614_010"": 1,
""P00614_012"": 4,
""P00614_006"": 2,
""P00614_009"": 1,
""P00614_006"": 3}"
O00182;25/12/2020;OK;9/01/2021;U00386;U00400;"{""P00386_006"": 3}"
O00183;26/12/2020;OK;8/01/2021;U00555;U00604;"{""P00555_002"": 3,
""P00555_004"": 2}"
O00184;25/11/2020;CANCELED;;U00485;U00118;"{""P00485_007"": 4,
""P00485_004"": 1,
""P00485_006"": 1,
""P00485_008"": 1,
""P00485_003"": 5}"
O00185;15/11/2020;OK;19/11/2020;U00551;U00135;"{""P00551_008"": 4,
""P00551_001"": 2,
""P00551_005"": 4}"
O00186;24/11/2020;OK;1/12/2020;U00401;U00281;"{""P00401_005"": 5,
""P00401_007"": 1,
""P00401_004"": 4}"
O00187;3/11/2020;OK;10/11/2020;U00485;U00229;"{""P00485_002"": 2,
""P00485_006"": 5,
""P00485_001"": 4}"
O00188;24/11/2020;OK;8/12/2020;U00489;U00057;"{""P00489_006"": 2,
""P00489_011"": 3,
""P00489_009"": 2,
""P00489_025"": 4,
""P00489_006"": 2}"
O00189;26/12/2020;OK;30/12/2020;U00401;U00367;"{""P00401_003"": 5,
""P00401_009"": 2,
""P00401_007"": 1,
""P00401_007"": 3,
""P00401_009"": 5}"
O00190;3/12/2020;OK;18/12/2020;U00535;U00593;"{""P00535_003"": 2,
""P00535_002"": 1,
""P00535_001"": 2}"
O00191;29/12/2020;OK;3/01/2021;U00605;U00557;"{""P00605_001"": 5,
""P00605_011"": 3}"
O00192;18/12/2020;OK;23/12/2020;U00563;U00252;"{""P00563_002"": 5,
""P00563_002"": 1,
""P00563_002"": 1,
""P00563_004"": 4,
""P00563_003"": 2}"
O00193;11/12/2020;OK;17/12/2020;U00626;U00097;"{""P00626_002"": 3}"
O00194;11/12/2020;CANCELED;;U00599;U00055;"{""P00599_016"": 3}"
O00195;12/11/2020;OK;14/11/2020;U00605;U00087;"{""P00605_006"": 1}"
O00196;9/12/2020;OK;18/12/2020;U00386;U00256;"{""P00386_002"": 3,
""P00386_013"": 1}"
O00197;8/12/2020;OK;9/12/2020;U00599;U00259;"{""P00599_019"": 3,
""P00599_021"": 2,
""P00599_008"": 1,
""P00599_010"": 3,
""P00599_010"": 4}"
O00198;6/12/2020;OK;18/12/2020;U00539;U00222;"{""P00539_002"": 4,
""P00539_001"": 5}"
O00199;15/11/2020;OK;21/11/2020;U00626;U00084;"{""P00626_006"": 4}"
O00200;1/12/2020;OK;13/12/2020;U00489;U00542;"{""P00489_016"": 5}"
O00201;6/11/2020;CANCELED;;U00595;U00437;"{""P00595_004"": 1,
""P00595_001"": 3}"
O00202;11/12/2020;OK;20/12/2020;U00573;U00214;"{""P00573_003"": 3}"
O00203;15/12/2020;OK;26/12/2020;U00489;U00158;"{""P00489_027"": 3,
""P00489_019"": 4,
""P00489_003"": 5}"
O00204;19/11/2020;OK;26/11/2020;U00626;U00051;"{""P00626_005"": 4,
""P00626_006"": 2}"
O00205;15/11/2020;OK;18/11/2020;U00555;U00596;"{""P00555_002"": 2,
""P00555_010"": 4,
""P00555_006"": 3,
""P00555_011"": 4}"
O00206;14/12/2020;OK;29/12/2020;U00473;U00546;"{""P00473_003"": 4}"
O00207;1/11/2020;OK;4/11/2020;U00406;U00049;"{""P00406_004"": 5,
""P00406_002"": 4,
""P00406_005"": 5}"
O00208;4/11/2020;OK;19/11/2020;U00622;U00519;"{""P00622_002"": 3,
""P00622_007"": 1,
""P00622_005"": 3,
""P00622_008"": 4,
""P00622_001"": 2}"
O00209;6/12/2020;OK;11/12/2020;U00555;U00213;"{""P00555_003"": 1,
""P00555_003"": 2,
""P00555_002"": 5,
""P00555_006"": 3}"
O00210;7/12/2020;CANCELED;;U00593;U00239;"{""P00593_001"": 4}"
O00211;18/11/2020;OK;29/11/2020;U00544;U00388;"{""P00544_001"": 4,
""P00544_001"": 1,
""P00544_001"": 4,
""P00544_001"": 4,
""P00544_001"": 1}"
O00212;26/12/2020;OK;1/01/2021;U00559;U00153;"{""P00559_002"": 3,
""P00559_008"": 1,
""P00559_009"": 3,
""P00559_004"": 2,
""P00559_004"": 1}"
O00213;13/11/2020;OK;28/11/2020;U00609;U00559;"{""P00609_001"": 3}"
O00214;19/11/2020;OK;4/12/2020;U00605;U00611;"{""P00605_004"": 2,
""P00605_010"": 4}"
O00215;12/11/2020;OK;19/11/2020;U00563;U00611;"{""P00563_001"": 4}"
O00216;9/11/2020;OK;15/11/2020;U00614;U00198;"{""P00614_012"": 1}"
O00217;10/11/2020;CANCELED;;U00451;U00563;"{""P00451_007"": 3,
""P00451_005"": 4,
""P00451_007"": 4,
""P00451_004"": 2,
""P00451_004"": 5}"
O00218;4/11/2020;OK;12/11/2020;U00538;U00175;"{""P00538_005"": 1,
""P00538_005"": 1,
""P00538_004"": 5,
""P00538_005"": 3,
""P00538_005"": 2}"
O00219;30/12/2020;OK;12/01/2021;U00451;U00305;"{""P00451_001"": 2,
""P00451_004"": 1,
""P00451_008"": 4,
""P00451_008"": 1,
""P00451_007"": 5}"
